ID,Group,Time,complexity.b,complexity.f,AVD.b,AVD.f,MDS1.b,MDS1.f,Richness.b,Richness.f
EC1_1_21,SGE,2021,0.371770028,0.268325465,0.527400713,0.244072901,-0.058328845,-0.107628415,2468,528
EC1_1_22,SGE,2022,0.378824722,0.280499483,0.602641524,0.343481936,-0.093328581,-0.028656899,2275,678
EC1_1_23,SGE,2023,0.374393359,0.254057761,0.542796842,0.32632417,-0.019631274,-0.023537962,2602,764
EC1_2_20,SGE,2020,0.364571543,0.288201619,0.532671636,0.35836519,-0.042392815,-0.02356444,2479,611
EC1_2_21,SGE,2021,0.360418337,0.27959223,0.540921977,0.321971687,-0.058233617,-0.061619474,2422,980
EC1_2_22,SGE,2022,0.349253093,0.310451849,0.570543747,0.329075827,-0.017733328,-0.095392494,2558,631
EC1_2_23,SGE,2023,0.361180904,0.320525255,0.59168992,0.364457424,-0.031948862,-0.056038549,2592,659
EC1_3_20,SGE,2020,0.3489294,0.271566776,0.534079821,0.29910925,0.011759878,-0.08905011,2632,621
EC1_3_21,SGE,2021,0.372177588,0.23603999,0.51739894,0.355082589,-0.04097521,-0.034222402,2461,719
EC1_3_22,SGE,2022,0.356995301,0.271181243,0.542673075,0.284599375,-0.008543686,-0.124304859,1899,549
EC1_3_23,SGE,2023,0.351560263,0.283401415,0.598516222,0.403206011,-0.054196551,-0.074554566,2525,535
EC1_4_20,SGE,2020,0.374122793,0.24459429,0.533616842,0.311538658,-0.029200419,-0.066321274,2499,774
EC1_4_21,SGE,2021,0.36633221,0.27204819,0.566961159,0.384569855,-0.091700558,-0.020827407,2505,976
EC1_4_22,SGE,2022,0.367717108,0.295452088,0.572519496,0.356987011,-0.057544053,-0.032853292,2018,613
EC1_4_23,SGE,2023,0.357813762,0.302245314,0.543840531,0.330149395,-0.001433721,-0.02683456,2506,684
EC1_5_20,SGE,2020,0.366136912,0.290365295,0.513281249,0.304569213,-0.010901481,-0.019073792,2491,748
EC1_5_21,SGE,2021,0.367521022,0.276140536,0.599109485,0.448225474,-0.129064209,-0.048522203,2507,870
EC1_5_22,SGE,2022,0.383777158,0.28749832,0.720697748,0.539797292,-0.176478361,-0.111986447,2550,586
EC1_5_23,SGE,2023,0.367923465,0.277323754,0.563371444,0.260605703,-0.031649625,-0.040233158,2452,574
ED1_1_20,SGE,2020,0.352793855,0.279482382,0.501521123,0.286770514,-0.00701165,-0.027165714,2547,655
ED1_1_21,SGE,2021,0.368523792,0.286488667,0.553643775,0.31520144,0.003441472,-0.003241267,2445,657
ED1_1_22,SGE,2022,0.338874332,0.28551549,0.558812813,0.37181123,0.007241641,-0.020868145,2527,501
ED1_1_23,SGE,2023,0.368769816,0.269344306,0.539813962,0.353688053,0.000562712,-0.030459669,2415,907
ED1_2_20,SGE,2020,0.343178618,0.243549591,0.602357762,0.31015563,0.045016718,0.013437349,2589,473
ED1_2_21,SGE,2021,0.354265268,0.254426354,0.573715364,0.34362683,-0.002345814,-0.024101736,2357,759
ED1_2_22,SGE,2022,0.362029748,0.290229144,0.608075449,0.36554833,0.022809079,-0.094904304,2596,565
ED1_2_23,SGE,2023,0.369373169,0.279204406,0.566750952,0.330460986,-0.007873861,-0.056954618,2651,640
ED1_3_20,SGE,2020,0.340748511,0.234968284,0.546897286,0.305963267,0.015041232,-0.044251622,2531,479
ED1_3_21,SGE,2021,0.357535464,0.297591355,0.526942726,0.3852849,-0.023394983,-0.057940409,2280,701
ED1_3_22,SGE,2022,0.362454611,0.262531236,0.557688805,0.353333973,-0.018756155,-0.206311602,2463,651
ED1_3_23,SGE,2023,0.368512246,0.262804151,0.561275818,0.331029073,-0.017422103,-0.046125577,2380,697
ED1_4_20,SGE,2020,0.338854069,0.29639147,0.554795566,0.393918089,0.007793639,-0.034262855,2487,557
ED1_4_21,SGE,2021,0.354453665,0.255610508,0.567292662,0.378478781,0.003795165,-0.000911719,2503,800
ED1_4_22,SGE,2022,0.362318438,0.283615435,0.539143582,0.341910048,-0.016859232,-0.062641237,2543,744
ED1_4_23,SGE,2023,0.364049818,0.301751554,0.551132055,0.33019752,-0.02122865,-0.037891279,2515,749
ED1_5_20,SGE,2020,0.345879204,0.197488217,0.520224842,0.325619677,-0.034718864,-0.072572008,2566,719
ED1_5_21,SGE,2021,0.345982983,0.252989092,0.596216413,0.355832768,-0.003017073,-0.02824038,2483,860
ED1_5_22,SGE,2022,0.360989708,0.278112248,0.632486438,0.416362065,-0.120317273,-0.075480577,2514,689
ED1_5_23,SGE,2023,0.365545789,0.268628256,0.553014661,0.294389164,-0.011491923,-0.034047751,2503,653
FA2_1_20,SGE,2020,0.338506437,0.110848953,0.612303741,0.359844098,-0.145675038,-0.013093494,2307,817
FA2_1_21,SGE,2021,0.363556299,0.136660556,0.635102282,0.423290319,-0.140641137,0.065216619,2157,904
FA2_1_22,SGE,2022,0.352927665,0.168441864,0.653243863,0.351573584,-0.068045635,0.015060692,2310,796
FA2_1_23,SGE,2023,0.359432216,0.206719873,0.554886956,0.288968104,-0.007451195,0.033733263,2521,727
FA2_2_20,SGE,2020,0.361973885,0.158006275,0.54295522,0.347376237,-0.104417878,0.051193657,2340,756
FA2_2_21,SGE,2021,0.328328432,0.179314379,0.639543996,0.376895462,-0.146498075,0.075348818,2248,893
FA2_2_22,SGE,2022,0.347835997,0.170759524,0.58752271,0.369417898,-0.053182577,0.002481532,2307,835
FA2_2_23,SGE,2023,0.332177891,0.117786291,0.627700392,0.316608529,0.006512797,0.0278615,2368,697
FA2_3_20,SGE,2020,0.318668904,0.135062383,0.617019547,0.367652807,-0.121839111,-0.04015014,2176,689
FA2_3_21,SGE,2021,0.32898316,0.195869623,0.676764003,0.415961585,-0.195237418,0.10146567,2345,530
FA2_3_22,SGE,2022,0.338163473,0.175851386,0.616212077,0.380549412,-0.040227694,0.03742983,2337,693
FA2_3_23,SGE,2023,0.359768134,0.162329445,0.636163648,0.423004588,-0.060795664,0.010219884,2383,756
FA2_4_20,SGE,2020,0.364084291,0.120785705,0.558298244,0.315345479,-0.067225004,-0.033089555,2329,779
FA2_4_21,SGE,2021,0.353634025,0.189815263,0.683539916,0.441542648,-0.144407158,0.025166897,2119,1166
FA2_4_22,SGE,2022,0.352912966,0.184739123,0.618031285,0.337388888,-0.03823087,0.056004143,2393,826
FA2_4_23,SGE,2023,0.346732688,0.198031775,0.658938871,0.404659994,-0.054929319,0.079939995,2556,752
FA2_5_20,SGE,2020,0.333944236,0.197062218,0.546028942,0.260106017,-0.102490461,0.019215726,2438,560
FA2_5_21,SGE,2021,0.355300354,0.220151678,0.631002094,0.404222812,-0.134030708,0.084574656,2330,761
FA2_5_22,SGE,2022,0.289168438,0.182739021,0.644628279,0.348098442,-0.067724429,-0.024583583,2475,802
FA2_5_23,SGE,2023,0.33160133,0.170560979,0.655057488,0.39432111,-0.04843417,0.015852446,2223,832
FC2_1_20,SGE,2020,0.371254563,0.309676904,0.516466976,0.319462328,0.011386702,0.070242729,2076,560
FC2_1_21,SGE,2021,0.345121395,0.312863749,0.587798382,0.409669475,0.03477325,0.085284521,2352,437
FC2_1_22,SGE,2022,0.366129414,0.321631976,0.526932696,0.349678708,-0.013905265,0.002857794,2410,725
FC2_1_23,SGE,2023,0.362016864,0.32521606,0.592393911,0.301681664,-0.00952932,0.054615007,2392,528
FC2_2_20,SGE,2020,0.362244107,0.326780787,0.562342247,0.330205548,-0.12745224,0.042167941,2340,773
